YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,NE,Coal,"12,661,150",,,,,,
1990,NE,Hydroelectric Conventional,"1,140,093",,,,,,
1990,NE,Natural Gas,"308,065",,,,,,
1990,NE,Nuclear,"7,511,298",,,,,,
1990,NE,Petroleum,"12,981",,,,,,
1990,NH,Total,"12,405,196",,,,,,
1990,NH,Coal,"2,959,203",,,,,,
1990,NH,Hydroelectric Conventional,"1,881,087",,,,,,
1990,NH,Natural Gas,0,,,,,,
1990,NH,Nuclear,"4,080,691",,,,,,
1990,NH,Other Biomass,"147,524",,,,,,
1990,NH,Petroleum,"2,346,493",,,,,,
1990,NH,Wood and Wood Derived Fuels,"990,198",,,,,,
1990,NJ,Total,"39,968,834",,,,,,
1990,NJ,Coal,"7,057,820",,,,,,
1990,NJ,Hydroelectric Conventional,"31,351",,,,,,
1990,NJ,Natural Gas,"6,914,325",,,,,,
1990,NJ,Nuclear,"23,770,387",,,,,,
1990,NJ,Other Biomass,"246,058",,,,,,
1990,NJ,Petroleum,"2,094,969",,,,,,
1990,NJ,Pumped Storage,"-149,547",,,,,,
1990,NJ,Wood and Wood Derived Fuels,"3,471",,,,,,
1990,NM,Total,"28,820,204",,,,,,
1990,NM,Coal,"25,826,928",,,,,,
1990,NM,Hydroelectric Conventional,"205,435",,,,,,
1990,NM,Natural Gas,"2,738,087",,,,,,
1990,NM,Other Biomass,"14,128",,,,,,
1990,NM,Petroleum,"35,626",,,,,,
1990,NV,Total,"20,050,685",,,,,,
1990,NV,Coal,"15,053,277",,,,,,
1990,NV,Geothermal,"761,192",,,,,,
1990,NV,Hydroelectric Conventional,"1,735,081",,,,,,
1990,NV,Natural Gas,"2,217,027",,,,,,
1990,NV,Petroleum,"284,108",,,,,,
1990,NY,Total,"135,345,692",,,,,,
1990,NY,Coal,"25,913,047",,,,,,
1990,NY,Hydroelectric Conventional,"28,188,222",,,,,,
1990,NY,Natural Gas,"22,724,335",,,,,,
1990,NY,Nuclear,"23,623,356",,,,,,
1990,NY,Other Biomass,"1,568,979",,,,,,
1990,NY,Other Gases,"89,034",,,,,,
1990,NY,Petroleum,"33,884,855",,,,,,
1990,NY,Pumped Storage,"-1,054,095",,,,,,
1990,NY,Wood and Wood Derived Fuels,"407,959",,,,,,
1990,OH,Total,"127,980,527",,,,,,
1990,OH,Coal,"115,832,650",,,,,,
1990,OH,Hydroelectric Conventional,"181,395",,,,,,
1990,OH,Natural Gas,"241,585",,,,,,
1990,OH,Nuclear,"10,663,897",,,,,,
1990,OH,Other Biomass,"304,285",,,,,,
1990,OH,Other Gases,"64,159",,,,,,
1990,OH,Petroleum,"374,481",,,,,,
1990,OH,Wood and Wood Derived Fuels,"318,075",,,,,,
1990,OK,Total,"47,079,131",,,,,,
1990,OK,Coal,"25,655,347",,,,,,
