,Year,States,Coal,NG,Petro
39,2008,SC,33.29815213927665,115.81586307883023,174.0779270637825
40,2008,SD,20.248614077701156,68.00313180192018,276.7472294932188
41,2008,TN,25.031827657148536,110.70277270080031,246.23362562433047
42,2008,TX,21.86889129426852,96.40164325636735,218.6598061663397
43,2008,UT,16.057238283946052,76.5605240475035,264.0760795241352
44,2008,VA,30.765862597216273,124.74194115812348,187.27299900708562
45,2008,VT,40.623357519566234,112.52679735178627,234.7461512266312
46,2008,WA,16.94984609187538,103.77535993056615,314.2464596850325
47,2008,WI,22.431622303615274,114.51576040206358,239.2965105953145
48,2008,WV,27.28275169453553,112.70143800985943,260.58326636267253
49,2008,WY,13.360010342594391,85.53511342070597,265.5120138238475
50,2009,AK,0.0,59.047946946281385,156.72058610306985
51,2009,AL,30.843480667471,50.84953827562615,141.52684885070758
52,2009,AR,19.52094466906312,103.20292666243755,153.94574009146348
53,2009,AZ,21.09271059172128,51.868275447719384,79.59733104621958
54,2009,CA,17.037166420911944,52.828799067121615,148.89086326612454
55,2009,CO,18.279055544987532,45.03788526530367,133.2217153334521
56,2009,CT,41.99137600780575,154.702516276447,16.18336764810998
57,2009,DE,39.148614184726476,0.0,0.0
58,2009,FL,39.177720961072005,94.111910183853,117.51375836565234
59,2009,GA,42.00107826658759,52.29517483412038,147.92063738794047
60,2009,HI,0.0,59.047946946281385,119.59974400374803
61,2009,IA,14.31083170321476,58.18444591469757,138.32510345270023
62,2009,ID,18.541016532097228,73.61103737782399,14.582494949106295
63,2009,IL,20.724024758011343,79.91750558602033,162.10533972699133
64,2009,IN,23.47946625205405,57.96129396271524,150.2685840131459
65,2009,KS,16.63937381085648,48.60831649702098,110.92592465278264
66,2009,KY,25.303490903040064,87.33973355412832,161.73665389328139
67,2009,LA,27.544712681645223,51.441376061318415,113.80749551098926
68,2009,MA,41.99137600780575,60.23162251766592,114.10826553322629
69,2009,MD,32.07566753276474,57.89337815124237,124.12099659608572
70,2009,ME,41.99137600780575,57.214220036513524,124.12099659608572
71,2009,MI,23.954876932364233,75.11488748900928,122.87910747201013
72,2009,MN,19.152258835353173,78.68531872072658,146.71755729899223
73,2009,MO,17.70662227685894,55.61334733750983,150.9962534217839
74,2009,MS,39.294148066454085,50.742813429025894,107.75328603112077
75,2009,MT,16.076642801509735,56.33131448736603,0.0
76,2009,NC,42.38916861786121,98.43911760055387,148.2990254804323
77,2009,ND,13.311499048685187,0.0,155.23614050944826
78,2009,NE,15.445995980690101,74.98875812484536,119.72587336791193
79,2009,NH,41.99137600780575,93.4909656218152,148.00795771697707
80,2009,NJ,95.77099643554772,0.0,108.29661252290384
81,2009,NM,22.169661316505575,47.2985115614725,180.54933367127012
82,2009,NV,25.5751541489316,70.06001066367034,148.40575032703254
83,2009,NY,41.545072103841086,61.17274161950446,128.3511814249682
84,2009,OH,26.584189062243016,53.50795718185043,150.15215690776384
85,2009,OK,19.09404528266213,46.143942766433504,29.630698319740933
86,2009,OR,17.037166420911944,52.26606805777486,40.6136552607844
87,2009,PA,46.63875796430736,0.0,139.15949770793853
88,2009,RI,41.99137600780575,48.24933292209288,124.12099659608572
89,2009,SC,42.37946635907937,49.597946892768704,120.40503148264081
90,2009,SD,20.432956994556125,61.42500034783231,22.790605878543367
91,2009,TN,28.941837946230265,53.4012323352502,131.11632517779276
92,2009,TX,21.791273224013793,48.249332922092876,136.04507263896772
93,2009,UT,18.07530811056888,36.68424045413899,137.8885018075174
94,2009,VA,35.66550328204573,58.56283400718934,129.33110956193406
95,2009,VT,41.99137600780575,66.19851166849784,0.0
96,2009,WA,17.037166420911944,76.48290597724878,185.55569920269986
97,2009,WI,23.18839848859883,60.658521904066895,150.33649982461878
98,2009,WV,30.68824452696155,51.99440481188332,163.92936437797735
99,2009,WY,13.612269070922244,40.4681213790568,158.9229988465477
100,2010,AK,0.0,50.432341148007005,199.29409763778605
101,2010,AL,32.7354211299299,55.11853213963598,187.25359448952193
102,2010,AR,19.909035020336738,69.95328581707012,170.7694568191749
103,2010,AZ,20.850154122175265,66.62541105489883,194.1810072597561
104,2010,CA,17.774538088331823,58.73747466526249,154.41144851299183
105,2010,CO,18.30816232133305,58.000102997842596,64.62674574583967
106,2010,CT,45.096098817994715,44.38783392692036,17.250616114112436
107,2010,DE,39.97330618118293,14.795944642306786,0.0
108,2010,FL,40.157649098037886,76.08511336719333,155.93470314174078
109,2010,GA,45.45508239292282,57.54409683509609,198.0619107724923
110,2010,HI,0.0,50.432341148007005,166.74301942471112
111,2010,IA,15.484805015817463,73.87299836493368,176.8042617814797
112,2010,ID,19.317197234644468,77.53074992568757,0.0
113,2010,IL,22.324897457015023,81.36314214451457,0.0
114,2010,IN,24.789271187602516,58.18444591469757,194.28773210635632
115,2010,KS,17.599897430258697,59.571868920500755,178.977567748612
116,2010,KY,26.36103711026068,70.28316261565269,194.34594565904737
117,2010,LA,27.91339851535516,54.85657115252627,78.4718690275261
118,2010,MA,45.096098817994715,71.87433305587454,55.48721797334592
119,2010,MD,40.47782363783863,68.90544186863133,156.46832737474196
120,2010,ME,45.096098817994715,45.94989759079668,156.17725961128676
121,2010,MI,24.4982034241473,70.45780327372582,112.34245443493131
122,2010,MN,20.36504118308324,72.74753634624018,0.0
123,2010,MO,18.337269097678575,61.357084536359416,191.8912741872417
124,2010,MS,37.39250534521336,55.5842405611643,71.92284434978373
125,2010,MT,16.493839929128878,31.10544165458069,164.58911797514247
126,2010,NC,41.26370659916772,77.98675608843406,189.43660271543604
127,2010,ND,14.611601725451814,0.0,202.15626397842897
128,2010,NE,16.464733152783353,93.64620176232465,101.87371720932542
129,2010,NH,45.096098817994715,71.87433305587454,141.80821435538095
130,2010,NJ,0.0,0.0,0.0
131,2010,NM,24.00338822627344,56.826129685239906,226.5380402971942
132,2010,NV,28.1850617612467,69.94358355828827,86.39861445228979
133,2010,NY,45.25133495850416,64.3938915350755,151.4425573257486
134,2010,OH,24.624332788311225,58.805390476735354,180.20975461390577
135,2010,OK,19.93814179668226,54.90508244643548,84.44846043713984
136,2010,OR,17.774538088331823,59.75621183735573,15.63033889754507
137,2010,PA,31.183059724835413,9.935112992604688,166.99527815303895
138,2010,RI,45.096098817994715,62.70569850703525,156.17725961128676
139,2010,SC,43.14594480284477,56.57387095691203,164.12340955361415
140,2010,SD,22.683881031943123,47.43434318441827,18.346971356460415
141,2010,TN,30.678542268179708,59.047946946281385,169.80893319977272
142,2010,TX,21.636037083504345,53.16837812448602,160.65970316849706
143,2010,UT,19.724692103481768,50.20918919602467,205.4356274466911
144,2010,VA,38.25600637679715,66.50898394951675,148.34753677434148
145,2010,VT,45.096098817994715,66.15000037458863,0.0
146,2010,WA,17.774538088331823,64.3453802411663,39.47849098330906
147,2010,WI,24.50790568292914,65.2573925666593,162.09563746820947
